+------------+--------+--------+----------+----------+----------+-----------+-----------+---------------------------------+
| identifier | e_rmse | f_rmse | f_rmse_H | f_rmse_C | f_rmse_N | f_rmse_Br | f_rmse_Pb |                          stdout |
|        195 |   0.46 |  23.05 |    14.41 |    27.76 |    23.79 |     24.78 |     39.66 |  task_6289_cp2k_singlepoint_pre |
|        196 |   0.75 |  17.45 |    12.97 |    24.61 |    19.55 |     16.69 |     24.61 |  task_6293_cp2k_singlepoint_pre |
|        197 |   0.47 |  22.12 |    14.74 |    27.16 |    24.11 |     23.48 |     34.88 |  task_6287_cp2k_singlepoint_pre |
|        198 |   0.87 |  17.85 |    12.12 |    24.13 |    19.82 |     17.78 |     27.79 |  task_6295_cp2k_singlepoint_pre |
|        199 |   0.59 |  23.34 |    14.79 |    29.12 |    22.51 |     25.32 |     40.50 |  task_6297_cp2k_singlepoint_pre |
|        200 |   1.00 |  19.42 |    13.74 |    24.67 |    21.12 |     20.20 |     29.29 |  task_6299_cp2k_singlepoint_pre |
|        201 |   0.28 |  21.40 |    14.44 |    26.06 |    23.08 |     22.16 |     35.00 |  task_6301_cp2k_singlepoint_pre |
|        202 |   0.82 |  17.52 |    12.89 |    24.21 |    18.94 |     16.86 |     26.34 |  task_6307_cp2k_singlepoint_pre |
|        203 |   0.44 |  23.50 |    14.83 |    29.40 |    25.30 |     24.48 |     39.60 |  task_6303_cp2k_singlepoint_pre |
|        204 |   1.08 |  17.36 |    12.15 |    24.69 |    18.67 |     17.23 |     26.08 |  task_6309_cp2k_singlepoint_pre |
|        205 |   0.29 |  20.42 |    13.30 |    27.58 |    21.25 |     20.57 |     34.25 |  task_6305_cp2k_singlepoint_pre |
|        206 |   0.94 |  17.36 |    12.75 |    21.58 |    19.29 |     17.38 |     26.19 |  task_6313_cp2k_singlepoint_pre |
|        207 |   0.58 |  23.62 |    15.04 |    29.79 |    23.35 |     24.43 |     42.14 |  task_6311_cp2k_singlepoint_pre |
|        208 |   0.83 |  17.35 |    12.40 |    24.21 |    19.68 |     16.02 |     26.70 |  task_6315_cp2k_singlepoint_pre |
|        209 |   0.53 |  21.56 |    14.57 |    28.62 |    22.70 |     22.43 |     33.82 |  task_6317_cp2k_singlepoint_pre |
|        210 |   0.83 |  18.01 |    12.87 |    23.71 |    20.57 |     17.61 |     26.93 |  task_6319_cp2k_singlepoint_pre |
|        211 |   0.52 |  21.17 |    13.81 |    25.84 |    22.44 |     22.05 |     35.70 |  task_6327_cp2k_singlepoint_pre |
|        212 |   0.85 |  17.46 |    12.24 |    23.42 |    20.18 |     16.97 |     26.13 |  task_6323_cp2k_singlepoint_pre |
|        213 |   0.50 |  21.64 |    14.12 |    26.11 |    21.66 |     22.66 |     38.00 |  task_6321_cp2k_singlepoint_pre |
|        214 |   0.87 |  17.53 |    12.54 |    22.75 |    19.61 |     18.24 |     24.84 |  task_6333_cp2k_singlepoint_pre |
|        215 |   0.52 |  23.90 |    15.07 |    29.65 |    23.41 |     25.70 |     41.71 |  task_6325_cp2k_singlepoint_pre |
|        216 |   0.72 |  17.28 |    13.08 |    23.24 |    18.84 |     17.10 |     24.53 |  task_6329_cp2k_singlepoint_pre |
|        217 |   0.54 |  23.04 |    14.51 |    30.25 |    23.18 |     23.18 |     41.20 |  task_6331_cp2k_singlepoint_pre |
|        218 |   0.89 |  18.60 |    13.25 |    24.92 |    20.61 |     18.78 |     27.35 |  task_6335_cp2k_singlepoint_pre |
|        219 |   0.53 |  23.15 |    14.69 |    25.40 |    22.12 |     25.22 |     42.39 |  task_6337_cp2k_singlepoint_pre |
|        220 |   0.87 |  17.85 |    12.36 |    25.65 |    20.42 |     17.65 |     25.15 |  task_7307_cp2k_singlepoint_pre |
|        221 |   0.83 |  23.75 |    15.03 |    28.56 |    24.75 |     24.10 |     42.83 |  task_7309_cp2k_singlepoint_pre |
|        222 |   1.02 |  18.08 |    13.49 |    25.36 |    19.47 |     17.45 |     26.39 |  task_7313_cp2k_singlepoint_pre |
|        223 |   0.43 |  22.77 |    13.95 |    27.77 |    23.05 |     23.70 |     41.36 |  task_7311_cp2k_singlepoint_pre |
|        224 |   0.92 |  17.97 |    12.56 |    21.29 |    20.87 |     18.77 |     26.56 |  task_7319_cp2k_singlepoint_pre |
|        225 |   0.38 |  22.69 |    14.59 |    28.26 |    22.48 |     24.57 |     38.40 |  task_7315_cp2k_singlepoint_pre |
|        226 |   0.87 |  17.92 |    13.45 |    23.64 |    19.75 |     18.08 |     25.11 |  task_7317_cp2k_singlepoint_pre |
|        227 |   0.50 |  20.98 |    13.83 |    26.74 |    20.78 |     22.65 |     34.55 |  task_7321_cp2k_singlepoint_pre |
|        228 |   0.89 |  17.14 |    12.37 |    24.14 |    19.78 |     16.98 |     23.00 |  task_7325_cp2k_singlepoint_pre |
|        229 |   0.61 |  22.97 |    15.06 |    27.49 |    23.33 |     23.18 |     41.47 |  task_7323_cp2k_singlepoint_pre |
|        230 |   1.04 |  19.20 |    13.47 |    26.08 |    19.40 |     19.53 |     30.68 |  task_7329_cp2k_singlepoint_pre |
|        231 |   0.54 |  21.21 |    14.21 |    26.46 |    22.85 |     21.86 |     34.63 |  task_7327_cp2k_singlepoint_pre |
|        232 |   0.83 |  19.13 |    12.80 |    24.61 |    21.33 |     18.85 |     31.46 |  task_7333_cp2k_singlepoint_pre |
|        233 |   0.46 |  21.12 |    13.72 |    27.22 |    22.96 |     22.02 |     33.85 |  task_7331_cp2k_singlepoint_pre |
|        234 |   0.88 |  18.05 |    12.59 |    24.43 |    20.46 |     17.38 |     27.91 |  task_7339_cp2k_singlepoint_pre |
|        235 |   0.51 |  21.58 |    13.84 |    27.06 |    23.72 |     22.62 |     34.97 |  task_7337_cp2k_singlepoint_pre |
|        236 |   0.90 |  18.99 |    13.48 |    25.73 |    21.96 |     18.19 |     28.27 |  task_7345_cp2k_singlepoint_pre |
|        237 |   0.59 |  24.80 |    15.64 |    32.82 |    25.40 |     25.24 |     43.11 |  task_7335_cp2k_singlepoint_pre |
|        238 |   1.04 |  17.86 |    12.47 |    22.97 |    19.68 |     17.53 |     28.75 |  task_7343_cp2k_singlepoint_pre |
|        239 |   0.44 |  22.64 |    14.15 |    30.03 |    23.31 |     23.23 |     39.03 |  task_7341_cp2k_singlepoint_pre |
|        240 |   0.87 |  17.84 |    12.80 |    24.49 |    18.93 |     17.67 |     27.31 |  task_7349_cp2k_singlepoint_pre |
|        241 |   0.44 |  21.35 |    14.48 |    26.25 |    21.66 |     22.03 |     36.41 |  task_7347_cp2k_singlepoint_pre |
|        242 |   0.94 |  18.62 |    12.84 |    23.67 |    20.35 |     18.92 |     29.53 |  task_7361_cp2k_singlepoint_pre |
|        243 |   0.50 |  22.79 |    14.73 |    30.72 |    23.34 |     23.40 |     38.18 |  task_7355_cp2k_singlepoint_pre |
|        244 |   0.96 |  19.06 |    12.48 |    24.37 |    20.69 |     19.74 |     31.04 |  task_7351_cp2k_singlepoint_pre |
|        245 |   0.57 |  23.57 |    15.16 |    27.30 |    24.16 |     25.80 |     39.81 |  task_7357_cp2k_singlepoint_pre |
|        246 |   0.86 |  18.04 |    12.93 |    23.75 |    20.04 |     18.04 |     26.99 |  task_7363_cp2k_singlepoint_pre |
|        247 |   0.51 |  20.86 |    13.92 |    25.55 |    20.25 |     21.54 |     37.06 |  task_7353_cp2k_singlepoint_pre |
|        248 |   0.99 |  18.61 |    12.96 |    23.18 |    21.40 |     19.03 |     27.86 |  task_7359_cp2k_singlepoint_pre |
|        249 |   0.27 |  21.37 |    14.60 |    26.52 |    22.89 |     22.05 |     34.54 |  task_7365_cp2k_singlepoint_pre |
|        250 |   0.94 |  19.58 |    13.85 |    26.40 |    21.20 |     19.30 |     30.49 |  task_8337_cp2k_singlepoint_pre |
|        251 |   0.68 |  26.19 |    16.81 |    31.13 |    25.57 |     28.32 |     45.91 |  task_8335_cp2k_singlepoint_pre |
|        252 |   1.13 |  19.25 |    14.00 |    25.79 |    22.85 |     18.46 |     27.16 |  task_8351_cp2k_singlepoint_pre |
|        253 |   0.41 |  25.28 |    15.28 |    31.18 |    26.05 |     27.21 |     43.91 |  task_8343_cp2k_singlepoint_pre |
|        254 |   0.85 |  17.68 |    13.36 |    23.28 |    20.46 |     16.83 |     25.08 |  task_8339_cp2k_singlepoint_pre |
|        255 |   0.67 |  24.76 |    15.01 |    32.23 |    26.35 |     24.77 |     44.01 |  task_8341_cp2k_singlepoint_pre |
|        256 |   0.73 |  20.50 |    13.36 |    25.52 |    23.38 |     21.01 |     32.87 |  task_8349_cp2k_singlepoint_pre |
|        257 |   0.48 |  21.93 |    14.42 |    26.86 |    23.29 |     22.86 |     36.63 |  task_8345_cp2k_singlepoint_pre |
|        258 |   1.00 |  19.49 |    14.06 |    25.23 |    21.29 |     19.03 |     30.65 |  task_8353_cp2k_singlepoint_pre |
|        259 |   0.43 |  22.54 |    14.60 |    29.20 |    25.10 |     22.70 |     36.86 |  task_8347_cp2k_singlepoint_pre |
|        260 |   0.88 |  18.53 |    14.06 |    24.47 |    21.71 |     18.46 |     23.79 |  task_8357_cp2k_singlepoint_pre |
|        261 |   0.66 |  23.38 |    15.25 |    27.35 |    23.21 |     25.48 |     40.02 |  task_8355_cp2k_singlepoint_pre |
|        262 |   0.94 |  19.61 |    13.51 |    24.57 |    23.63 |     19.64 |     28.73 |  task_8359_cp2k_singlepoint_pre |
|        263 |   0.68 |  25.66 |    16.41 |    30.79 |    25.49 |     27.84 |     44.24 |  task_8361_cp2k_singlepoint_pre |
|        264 |   0.86 |  18.28 |    13.39 |    24.46 |    20.72 |     18.22 |     25.70 |  task_8369_cp2k_singlepoint_pre |
|        265 |   0.51 |  23.20 |    15.59 |    28.88 |    23.65 |     23.52 |     40.20 |  task_8363_cp2k_singlepoint_pre |
|        266 |   0.84 |  19.11 |    13.89 |    27.29 |    20.96 |     18.68 |     27.34 |  task_8373_cp2k_singlepoint_pre |
|        267 |   0.46 |  23.46 |    15.81 |    29.70 |    24.15 |     24.68 |     38.24 |  task_8365_cp2k_singlepoint_pre |
|        268 |   0.69 |  20.56 |    13.41 |    28.42 |    22.93 |     20.27 |     32.87 |  task_8371_cp2k_singlepoint_pre |
|        269 |   0.64 |  23.71 |    16.03 |    28.49 |    24.17 |     25.01 |     39.80 |  task_8367_cp2k_singlepoint_pre |
|        270 |   1.09 |  19.99 |    13.84 |    25.92 |    22.69 |     19.71 |     31.13 |  task_8377_cp2k_singlepoint_pre |
|        271 |   0.34 |  21.30 |    14.15 |    27.56 |    22.40 |     22.66 |     33.54 |  task_8375_cp2k_singlepoint_pre |
|        272 |   0.79 |  19.95 |    14.02 |    27.66 |    21.79 |     19.56 |     30.47 |  task_8379_cp2k_singlepoint_pre |
|        273 |   0.45 |  21.66 |    14.51 |    26.28 |    22.40 |     22.92 |     35.97 |  task_8381_cp2k_singlepoint_pre |
|        274 |   0.76 |  19.34 |    13.31 |    25.80 |    23.02 |     18.99 |     28.21 |  task_8385_cp2k_singlepoint_pre |
|        275 |   0.58 |  23.07 |    15.25 |    26.15 |    24.74 |     25.12 |     37.51 |  task_8383_cp2k_singlepoint_pre |
|        276 |   0.97 |  18.63 |    13.17 |    27.20 |    19.58 |     18.93 |     26.78 |  task_8389_cp2k_singlepoint_pre |
|        277 |   0.62 |  23.82 |    15.09 |    27.25 |    24.60 |     24.98 |     42.71 |  task_8387_cp2k_singlepoint_pre |
|        278 |   0.69 |  20.87 |    14.34 |    25.40 |    20.77 |     22.44 |     34.37 |  task_8391_cp2k_singlepoint_pre |
|        279 |   0.80 |  23.56 |    14.42 |    32.25 |    25.11 |     24.47 |     38.84 |  task_8393_cp2k_singlepoint_pre |
|        280 |   0.81 |  19.12 |    13.86 |    25.84 |    21.79 |     18.38 |     28.22 |  task_9365_cp2k_singlepoint_pre |
|        281 |   0.60 |  22.52 |    15.74 |    28.03 |    26.15 |     21.79 |     35.48 |  task_9363_cp2k_singlepoint_pre |
|        282 |   0.92 |  19.60 |    14.32 |    25.41 |    23.21 |     19.23 |     27.42 |  task_9367_cp2k_singlepoint_pre |
|        283 |   0.56 |  24.14 |    16.16 |    27.83 |    22.84 |     24.95 |     44.46 |  task_9369_cp2k_singlepoint_pre |
|        284 |   0.84 |  22.49 |    15.05 |    29.03 |    25.01 |     23.40 |     34.63 |  task_9377_cp2k_singlepoint_pre |
|        285 |   0.41 |  26.98 |    16.62 |    35.16 |    28.14 |     27.60 |     47.17 |  task_9371_cp2k_singlepoint_pre |
|        286 |   1.00 |  20.39 |    14.81 |    24.17 |    23.40 |     20.29 |     31.24 |  task_9381_cp2k_singlepoint_pre |
|        287 |   0.43 |  23.80 |    15.70 |    29.23 |    24.94 |     24.96 |     39.74 |  task_9375_cp2k_singlepoint_pre |
|        288 |   0.92 |  20.01 |    14.15 |    25.22 |    23.20 |     20.64 |     28.52 |  task_9379_cp2k_singlepoint_pre |
|        289 |   0.62 |  25.70 |    16.77 |    32.09 |    24.77 |     27.40 |     44.58 |  task_9373_cp2k_singlepoint_pre |
|        290 |   0.83 |  23.04 |    16.13 |    28.28 |    24.38 |     25.20 |     34.32 |  task_9385_cp2k_singlepoint_pre |
|        291 |   0.80 |  24.44 |    16.41 |    30.89 |    26.30 |     25.44 |     39.04 |  task_9383_cp2k_singlepoint_pre |
|        292 |   0.99 |  20.60 |    15.95 |    28.69 |    22.91 |     19.13 |     29.14 |  task_9387_cp2k_singlepoint_pre |
|        293 |   0.52 |  26.13 |    17.04 |    28.88 |    28.01 |     26.90 |     46.26 |  task_9389_cp2k_singlepoint_pre |
|        294 |   0.89 |  21.90 |    15.06 |    30.80 |    24.44 |     21.73 |     32.56 |  task_9393_cp2k_singlepoint_pre |
|        295 |   0.38 |  22.62 |    16.69 |    29.12 |    25.43 |     21.86 |     34.11 |  task_9391_cp2k_singlepoint_pre |
|        296 |   0.89 |  19.94 |    14.41 |    29.21 |    23.04 |     18.51 |     28.10 |  task_9399_cp2k_singlepoint_pre |
|        297 |   0.16 |  22.25 |    15.24 |    30.18 |    24.58 |     20.98 |     36.46 |  task_9397_cp2k_singlepoint_pre |
|        298 |   0.97 |  22.31 |    15.55 |    30.58 |    24.82 |     22.97 |     31.88 |  task_9401_cp2k_singlepoint_pre |
|        299 |   0.59 |  26.53 |    16.67 |    31.78 |    28.81 |     27.91 |     45.01 |  task_9395_cp2k_singlepoint_pre |
|        300 |   0.96 |  20.91 |    15.17 |    27.64 |    23.67 |     21.12 |     29.51 |  task_9405_cp2k_singlepoint_pre |
|        301 |   0.42 |  22.97 |    14.91 |    30.78 |    26.11 |     23.50 |     35.21 |  task_9403_cp2k_singlepoint_pre |
|        302 |   0.88 |  21.27 |    15.29 |    27.91 |    23.87 |     20.32 |     33.23 |  task_9407_cp2k_singlepoint_pre |
|        303 |   0.49 |  23.51 |    15.21 |    30.97 |    24.54 |     23.63 |     40.25 |  task_9409_cp2k_singlepoint_pre |
|        304 |   0.86 |  19.71 |    13.99 |    25.40 |    22.55 |     20.04 |     28.58 |  task_9413_cp2k_singlepoint_pre |
|        305 |   0.53 |  23.88 |    16.14 |    30.23 |    27.39 |     23.94 |     37.36 |  task_9411_cp2k_singlepoint_pre |
|        306 |   0.96 |  22.77 |    15.43 |    27.89 |    26.09 |     24.32 |     33.46 |  task_9421_cp2k_singlepoint_pre |
|        307 |   0.54 |  24.53 |    14.89 |    32.25 |    25.85 |     25.44 |     42.09 |  task_9415_cp2k_singlepoint_pre |
|        308 |   1.01 |  22.12 |    15.07 |    26.54 |    23.83 |     23.42 |     35.39 |  task_9419_cp2k_singlepoint_pre |
|        309 |   0.39 |  26.33 |    17.26 |    31.41 |    26.51 |     27.80 |     45.78 |  task_9417_cp2k_singlepoint_pre |
|        310 |   1.03 |  23.88 |    16.05 |    32.61 |    26.38 |     24.04 |     36.95 | task_10396_cp2k_singlepoint_pre |
|        311 |   0.46 |  29.26 |    17.98 |    32.83 |    30.24 |     30.91 |     53.38 | task_10394_cp2k_singlepoint_pre |
|        312 |   1.15 |  23.23 |    16.48 |    30.59 |    26.10 |     25.05 |     30.62 | task_10398_cp2k_singlepoint_pre |
|        313 |   0.61 |  28.39 |    18.23 |    34.36 |    30.69 |     29.97 |     47.15 | task_10402_cp2k_singlepoint_pre |
|        314 |   0.96 |  26.74 |    17.55 |    36.45 |    29.60 |     27.44 |     41.23 | task_10406_cp2k_singlepoint_pre |
|        315 |   0.69 |  27.29 |    18.68 |    32.80 |    28.30 |     27.65 |     46.89 | task_10404_cp2k_singlepoint_pre |
|        316 |   1.01 |  27.66 |    18.20 |    35.59 |    30.85 |     28.85 |     43.12 | task_10400_cp2k_singlepoint_pre |
|        317 |   0.66 |  27.96 |    19.43 |    32.16 |    27.64 |     30.53 |     45.90 | task_10408_cp2k_singlepoint_pre |
|        318 |   1.07 |  23.14 |    16.41 |    29.99 |    24.95 |     24.54 |     33.60 | task_10412_cp2k_singlepoint_pre |
|        319 |   0.56 |  28.19 |    17.85 |    35.74 |    31.45 |     29.46 |     45.36 | task_10410_cp2k_singlepoint_pre |
|        320 |   0.87 |  23.82 |    17.18 |    31.83 |    28.89 |     22.89 |     32.83 | task_10414_cp2k_singlepoint_pre |
|        321 |   0.44 |  25.55 |    17.59 |    33.45 |    27.17 |     26.45 |     39.70 | task_10416_cp2k_singlepoint_pre |
|        322 |   1.03 |  22.80 |    16.26 |    30.61 |    25.03 |     22.79 |     34.14 | task_10420_cp2k_singlepoint_pre |
|        323 |   0.33 |  32.63 |    21.03 |    39.38 |    34.17 |     32.89 |     58.27 | task_10418_cp2k_singlepoint_pre |
|        324 |   0.92 |  25.57 |    17.82 |    31.54 |    27.71 |     26.41 |     40.45 | task_10424_cp2k_singlepoint_pre |
|        325 |   0.84 |  29.82 |    19.08 |    34.08 |    30.44 |     32.73 |     50.87 | task_10426_cp2k_singlepoint_pre |
|        326 |   1.11 |  23.11 |    17.74 |    30.27 |    26.84 |     22.07 |     31.94 | task_10428_cp2k_singlepoint_pre |
|        327 |   0.67 |  29.35 |    19.28 |    33.74 |    29.22 |     30.51 |     52.97 | task_10422_cp2k_singlepoint_pre |
|        328 |   1.20 |  23.71 |    17.06 |    29.13 |    28.83 |     22.56 |     35.36 | task_10432_cp2k_singlepoint_pre |
|        329 |   0.41 |  27.82 |    19.05 |    31.78 |    30.18 |     29.93 |     43.94 | task_10430_cp2k_singlepoint_pre |
|        330 |   1.03 |  22.27 |    16.18 |    29.59 |    25.54 |     21.26 |     33.28 | task_10434_cp2k_singlepoint_pre |
|        331 |   0.57 |  26.82 |    17.19 |    33.78 |    28.11 |     27.81 |     45.69 | task_10436_cp2k_singlepoint_pre |
|        332 |   1.07 |  25.26 |    17.77 |    30.55 |    27.83 |     26.61 |     38.36 | task_10438_cp2k_singlepoint_pre |
|        333 |   0.82 |  30.10 |    19.02 |    35.45 |    31.58 |     32.21 |     51.63 | task_10440_cp2k_singlepoint_pre |
|        334 |   0.92 |  24.53 |    16.22 |    32.62 |    26.56 |     25.70 |     38.05 | task_10442_cp2k_singlepoint_pre |
|        335 |   0.65 |  26.74 |    17.40 |    35.10 |    29.88 |     26.46 |     43.96 | task_10444_cp2k_singlepoint_pre |
|        336 |   0.77 |  26.86 |    17.05 |    32.35 |    29.45 |     28.37 |     44.83 | task_10450_cp2k_singlepoint_pre |
|        337 |   0.69 |  30.80 |    19.60 |    39.34 |    32.13 |     30.96 |     54.22 | task_10446_cp2k_singlepoint_pre |
|        338 |   0.84 |  22.43 |    16.20 |    29.16 |    26.00 |     21.60 |     33.48 | task_10452_cp2k_singlepoint_pre |
|        339 |   0.51 |  25.53 |    16.88 |    34.13 |    27.82 |     26.98 |     38.49 | task_10448_cp2k_singlepoint_pre |
|        340 |   0.99 |  32.37 |    21.00 |    37.39 |    34.44 |     33.84 |     56.23 | task_11431_cp2k_singlepoint_pre |
|        341 |   0.36 |  36.80 |    23.20 |    44.23 |    38.00 |     42.22 |     57.65 | task_11425_cp2k_singlepoint_pre |
|        342 |   1.09 |  32.25 |    22.81 |    41.12 |    35.34 |     32.45 |     50.32 | task_11427_cp2k_singlepoint_pre |
|        343 |   0.54 |  38.71 |    22.83 |    45.54 |    38.32 |     43.02 |     68.94 | task_11429_cp2k_singlepoint_pre |
|        344 |   0.10 |  40.98 |    25.27 |    51.60 |    41.35 |     44.14 |     70.95 | task_11435_cp2k_singlepoint_pre |
|        345 |   1.71 |  42.16 |    25.71 |    49.03 |    40.34 |     44.47 |     79.72 | task_11433_cp2k_singlepoint_pre |
|        346 |   1.16 |  31.84 |    21.66 |    37.23 |    36.07 |     32.74 |     51.14 | task_11437_cp2k_singlepoint_pre |
|        347 |   0.50 |  33.42 |    21.27 |    38.75 |    36.93 |     36.58 |     53.53 | task_11439_cp2k_singlepoint_pre |
|        348 |   1.04 |  32.25 |    21.89 |    41.51 |    38.12 |     31.99 |     48.88 | task_11443_cp2k_singlepoint_pre |
|        349 |   0.04 |  33.32 |    21.95 |    41.35 |    36.20 |     35.92 |     51.75 | task_11441_cp2k_singlepoint_pre |
|        350 |   0.39 |  35.58 |    22.44 |    45.51 |    36.53 |     37.31 |     61.27 | task_11447_cp2k_singlepoint_pre |
|        351 |   0.99 |  35.93 |    23.44 |    43.33 |    38.10 |     37.18 |     61.40 | task_11445_cp2k_singlepoint_pre |
|        352 |   1.10 |  29.80 |    21.07 |    36.27 |    31.78 |     30.77 |     47.54 | task_11449_cp2k_singlepoint_pre |
|        353 |   0.76 |  43.35 |    26.01 |    52.45 |    44.51 |     48.76 |     72.49 | task_11451_cp2k_singlepoint_pre |
|        354 |   1.23 |  27.76 |    19.49 |    35.28 |    32.88 |     28.37 |     39.12 | task_11455_cp2k_singlepoint_pre |
|        355 |   0.44 |  38.03 |    24.42 |    45.70 |    38.72 |     41.09 |     64.61 | task_11453_cp2k_singlepoint_pre |
|        356 |   0.81 |  35.07 |    26.51 |    48.43 |    37.68 |     36.73 |     44.92 | task_11459_cp2k_singlepoint_pre |
|        357 |   0.18 |  35.21 |    22.72 |    43.80 |    42.53 |     34.74 |     55.73 | task_11457_cp2k_singlepoint_pre |
|        358 |   1.18 |  28.20 |    19.59 |    39.40 |    32.88 |     27.84 |     39.85 | task_11463_cp2k_singlepoint_pre |
|        359 |   0.72 |  38.71 |    23.75 |    48.55 |    38.40 |     42.37 |     66.46 | task_11461_cp2k_singlepoint_pre |
|        360 |   1.08 |  34.27 |    22.69 |    45.93 |    36.08 |     36.07 |     53.87 | task_11467_cp2k_singlepoint_pre |
|        361 |   0.86 |  38.75 |    23.14 |    47.68 |    39.32 |     42.03 |     67.97 | task_11465_cp2k_singlepoint_pre |
|        362 |   1.07 |  33.20 |    22.06 |    41.70 |    34.15 |     36.29 |     52.61 | task_11471_cp2k_singlepoint_pre |
|        363 |   0.31 |  31.62 |    21.60 |    38.92 |    32.22 |     35.61 |     47.29 | task_11469_cp2k_singlepoint_pre |
|        364 |   0.87 |  35.15 |    22.84 |    44.85 |    39.40 |     38.39 |     51.79 | task_11475_cp2k_singlepoint_pre |
|        365 |   0.50 |  35.82 |    21.97 |    44.11 |    39.82 |     38.11 |     58.88 | task_11473_cp2k_singlepoint_pre |
|        366 |   0.40 |  37.89 |    23.39 |    48.91 |    41.07 |     40.11 |     62.46 | task_11479_cp2k_singlepoint_pre |
|        367 |   0.43 |  32.95 |    21.16 |    41.41 |    34.25 |     34.66 |     55.56 | task_11477_cp2k_singlepoint_pre |
|        368 |   1.35 |  34.83 |    23.30 |    41.43 |    36.85 |     38.83 |     53.78 | task_11483_cp2k_singlepoint_pre |
|        369 |   0.65 |  39.21 |    23.33 |    48.89 |    40.85 |     42.34 |     67.58 | task_11481_cp2k_singlepoint_pre |
|        370 |   1.12 |  52.74 |    35.61 |    64.17 |    59.41 |     56.46 |     79.38 | task_12456_cp2k_singlepoint_pre |
|        371 |   5.56 |  78.40 |    45.25 |    94.90 |    80.69 |     86.74 |    136.67 | task_12458_cp2k_singlepoint_pre |
|        372 |   4.55 |  72.28 |    45.29 |    92.17 |    72.10 |     77.35 |    124.91 | task_12460_cp2k_singlepoint_pre |
|        373 |   4.61 |  68.59 |    40.78 |    83.49 |    66.94 |     75.02 |    122.98 | task_12462_cp2k_singlepoint_pre |
|        374 |   1.18 |  28.06 |    19.13 |    40.67 |    33.82 |     28.23 |     35.83 | task_12464_cp2k_singlepoint_pre |
|        375 |   5.95 |  71.87 |    45.41 |    97.08 |    75.53 |     75.71 |    116.13 | task_12466_cp2k_singlepoint_pre |
|        376 |   0.56 |  65.76 |    34.06 |    72.40 |    82.90 |     82.13 |     82.84 | task_12468_cp2k_singlepoint_pre |
|        377 |   2.49 |  64.29 |    40.04 |    78.00 |    83.07 |     60.01 |    103.97 | task_12470_cp2k_singlepoint_pre |
|        378 |   0.72 |  52.64 |    34.48 |    68.73 |    53.98 |     55.94 |     85.82 | task_12472_cp2k_singlepoint_pre |
|        379 |   1.89 |  51.23 |    34.36 |    60.38 |    52.06 |     57.06 |     81.68 | task_12474_cp2k_singlepoint_pre |
|        380 |   0.89 |  59.23 |    37.07 |    70.60 |    61.74 |     64.26 |    101.18 | task_12476_cp2k_singlepoint_pre |
|        381 |   4.87 |  70.18 |    41.93 |    85.75 |    72.99 |     77.29 |    119.15 | task_12478_cp2k_singlepoint_pre |
|        382 |   0.06 |  46.87 |    34.19 |    66.07 |    53.51 |     46.75 |     62.20 | task_12480_cp2k_singlepoint_pre |
|        383 |   0.36 |  54.71 |    35.55 |    63.74 |    56.70 |     59.42 |     92.23 | task_12484_cp2k_singlepoint_pre |
|        384 |   1.45 |  56.26 |    36.54 |    71.55 |    66.06 |     57.93 |     85.53 | task_12486_cp2k_singlepoint_pre |
|        385 |   0.74 |  50.99 |    32.85 |    61.65 |    56.24 |     54.79 |     81.65 | task_12488_cp2k_singlepoint_pre |
|        386 |   2.87 |  52.91 |    33.60 |    61.40 |    59.16 |     56.40 |     86.86 | task_12490_cp2k_singlepoint_pre |
|        387 |   0.02 |  54.46 |    34.78 |    70.75 |    58.65 |     55.77 |     91.20 | task_12492_cp2k_singlepoint_pre |
|        388 |   5.10 |  72.11 |    46.80 |    80.52 |    72.74 |     76.82 |    128.33 | task_12494_cp2k_singlepoint_pre |
|        389 |   1.42 |  56.48 |    36.77 |    64.54 |    59.92 |     61.49 |     93.99 | task_12514_cp2k_singlepoint_pre |
|        390 |   3.86 |  70.40 |    46.71 |    82.36 |    90.42 |     63.59 |    114.85 | task_12496_cp2k_singlepoint_pre |
|        391 |   2.02 |  60.37 |    36.05 |    75.22 |    64.45 |     65.56 |    101.85 | task_12498_cp2k_singlepoint_pre |
|        392 |   0.83 |  47.03 |    31.60 |    65.78 |    51.26 |     48.71 |     69.36 | task_12500_cp2k_singlepoint_pre |
|        393 |   1.11 |  71.07 |    43.29 |    92.76 |    89.16 |     65.71 |    117.42 | task_12502_cp2k_singlepoint_pre |
|        394 |   1.19 |  44.99 |    29.49 |    54.86 |    49.49 |     47.71 |     71.69 | task_12504_cp2k_singlepoint_pre |
|        395 |   1.13 |  28.91 |    19.98 |    35.32 |    32.44 |     30.26 |     44.01 | task_12506_cp2k_singlepoint_pre |
|        396 |   1.38 |  49.29 |    34.06 |    64.12 |    56.51 |     48.33 |     76.13 | task_12508_cp2k_singlepoint_pre |
|        397 |   0.79 |  48.41 |    35.04 |    61.02 |    54.11 |     46.96 |     76.09 | task_12510_cp2k_singlepoint_pre |
|        398 |   3.44 |  59.81 |    35.49 |    67.69 |    58.15 |     66.41 |    109.04 | task_12512_cp2k_singlepoint_pre |
|        399 |   1.05 |  35.23 |    25.50 |    44.29 |    42.18 |     34.79 |     49.94 | task_13491_cp2k_singlepoint_pre |
