+--------------+---------+----------+--------+--------------+-------------+------------+--------+--------------------------------------+
| walker_index | counter | is_reset | f_rmse | disagreement | temperature | identifier | e_rmse |                               stdout |
|           31 |   34000 |    False |  35.23 |         None |      607.53 |        881 |   0.72 | task_28864_molecular_dynamics_openmm |
|           32 |   20000 |    False |  36.00 |         None |      601.09 |        882 |   1.43 | task_28876_molecular_dynamics_openmm |
|           33 |   32000 |    False |  30.47 |         None |      592.88 |        883 |   0.57 | task_28888_molecular_dynamics_openmm |
|           34 |   34000 |    False |  32.13 |         None |      610.27 |        884 |   0.69 | task_28900_molecular_dynamics_openmm |
|           35 |   34000 |    False |  33.47 |         None |      620.43 |        885 |   0.12 | task_28912_molecular_dynamics_openmm |
|           36 |   34000 |    False |  35.95 |         None |      606.65 |        886 |   1.02 | task_28924_molecular_dynamics_openmm |
|           37 |   34000 |    False |  38.55 |         None |      613.22 |        887 |   0.07 | task_28936_molecular_dynamics_openmm |
|           38 |   26000 |    False |  44.79 |         None |      603.41 |        888 |   1.15 | task_28948_molecular_dynamics_openmm |
|           39 |   26000 |    False |  43.29 |         None |      610.81 |        889 |   0.90 | task_28960_molecular_dynamics_openmm |
|           40 |    2000 |    False |  38.47 |         None |      559.56 |        890 |   1.33 | task_28972_molecular_dynamics_openmm |
|           41 |   18000 |    False |  48.27 |         None |      618.73 |        891 |   0.41 | task_28984_molecular_dynamics_openmm |
|           42 |   34000 |    False |  30.49 |         None |      594.85 |        892 |   0.43 | task_28996_molecular_dynamics_openmm |
|           43 |   34000 |    False |  33.62 |         None |      602.66 |        893 |   0.03 | task_29008_molecular_dynamics_openmm |
|           44 |   34000 |    False |  31.11 |         None |      597.74 |        894 |   0.76 | task_29020_molecular_dynamics_openmm |
|           45 |   34000 |    False |  33.05 |         None |      594.35 |        895 |   0.57 | task_29032_molecular_dynamics_openmm |
|           46 |   34000 |    False |  36.55 |         None |      609.17 |        896 |   1.07 | task_29044_molecular_dynamics_openmm |
|           47 |   34000 |    False |  37.76 |         None |      606.81 |        897 |   0.68 | task_29056_molecular_dynamics_openmm |
|           48 |   34000 |    False |  38.30 |         None |      598.39 |        898 |   0.77 | task_29068_molecular_dynamics_openmm |
|           49 |   34000 |    False |  39.69 |         None |      601.68 |        899 |   0.91 | task_29080_molecular_dynamics_openmm |
+--------------+---------+----------+--------+--------------+-------------+------------+--------+--------------------------------------+
