+------------+--------+--------+----------+----------+----------+-----------+-----------+---------------------------------+
| identifier | e_rmse | f_rmse | f_rmse_H | f_rmse_C | f_rmse_N | f_rmse_Br | f_rmse_Pb |                          stdout |
|        199 |   0.05 |  28.72 |    16.76 |    37.66 |    29.34 |     31.67 |     51.08 |  task_6394_cp2k_singlepoint_pre |
|        200 |   0.29 |  19.00 |    13.57 |    24.40 |    21.91 |     19.29 |     27.11 |  task_7973_cp2k_singlepoint_pre |
|        201 |   0.31 |  17.76 |    12.77 |    23.09 |    20.41 |     18.50 |     23.79 |  task_7969_cp2k_singlepoint_pre |
|        202 |   0.07 |  19.52 |    13.24 |    25.22 |    21.02 |     20.49 |     29.82 |  task_7975_cp2k_singlepoint_pre |
|        203 |   0.29 |  20.39 |    14.29 |    28.50 |    22.24 |     20.81 |     28.97 |  task_7971_cp2k_singlepoint_pre |
|        204 |   0.10 |  22.67 |    15.05 |    31.41 |    23.30 |     24.35 |     33.48 |  task_7963_cp2k_singlepoint_pre |
|        205 |   0.26 |  20.43 |    14.42 |    27.16 |    21.32 |     20.79 |     31.11 |  task_7967_cp2k_singlepoint_pre |
|        206 |   0.10 |  22.37 |    15.67 |    29.05 |    25.31 |     22.77 |     32.03 |  task_7965_cp2k_singlepoint_pre |
|        207 |   0.36 |  20.94 |    13.50 |    28.38 |    22.51 |     21.45 |     32.48 |  task_7977_cp2k_singlepoint_pre |
|        208 |   0.25 |  15.10 |    10.88 |    19.90 |    17.11 |     15.73 |     20.51 |  task_7979_cp2k_singlepoint_pre |
|        209 |   0.08 |  20.09 |    14.54 |    25.75 |    23.70 |     20.14 |     27.96 |  task_7981_cp2k_singlepoint_pre |
|        210 |   0.42 |  22.39 |    16.56 |    28.00 |    24.27 |     23.03 |     33.08 |  task_7995_cp2k_singlepoint_pre |
|        211 |   0.27 |  25.88 |    16.43 |    34.78 |    28.89 |     26.54 |     41.15 |  task_7993_cp2k_singlepoint_pre |
|        212 |   0.09 |  28.32 |    17.69 |    36.00 |    28.13 |     31.89 |     46.16 |  task_7991_cp2k_singlepoint_pre |
|        213 |   1.24 |  29.19 |    18.07 |    35.15 |    30.32 |     31.43 |     50.52 |  task_7989_cp2k_singlepoint_pre |
|        214 |   0.41 |  26.78 |    17.93 |    32.17 |    28.00 |     28.55 |     44.13 |  task_7983_cp2k_singlepoint_pre |
|        215 |   0.53 |  32.18 |    19.85 |    43.50 |    32.85 |     34.36 |     53.55 |  task_7985_cp2k_singlepoint_pre |
|        216 |   0.00 |  30.01 |    20.06 |    39.71 |    31.26 |     32.51 |     45.73 |  task_7987_cp2k_singlepoint_pre |
|        217 |   0.12 |  19.16 |    13.88 |    24.37 |    22.16 |     19.72 |     26.54 |  task_7999_cp2k_singlepoint_pre |
|        218 |   0.02 |  20.55 |    14.63 |    30.54 |    21.77 |     20.98 |     28.44 |  task_7997_cp2k_singlepoint_pre |
|        219 |   0.05 |  22.92 |    15.27 |    30.27 |    25.12 |     23.19 |     37.25 |  task_8001_cp2k_singlepoint_pre |
|        220 |   0.22 |  22.29 |    15.83 |    35.08 |    23.97 |     21.79 |     30.48 |  task_8007_cp2k_singlepoint_pre |
|        221 |   0.12 |  26.40 |    17.52 |    35.92 |    29.05 |     27.02 |     41.79 |  task_8003_cp2k_singlepoint_pre |
|        222 |   0.34 |  29.17 |    18.69 |    41.93 |    31.69 |     29.14 |     47.74 |  task_8005_cp2k_singlepoint_pre |
|        223 |   1.12 |  33.02 |    21.12 |    42.61 |    33.16 |     36.22 |     56.39 |  task_8011_cp2k_singlepoint_pre |
|        224 |   0.25 |  28.86 |    18.72 |    37.45 |    30.33 |     32.20 |     45.82 |  task_8009_cp2k_singlepoint_pre |
|        225 |   0.28 |  18.97 |    13.18 |    25.99 |    21.44 |     19.50 |     26.63 |  task_8017_cp2k_singlepoint_pre |
|        226 |   0.53 |  20.00 |    14.11 |    27.90 |    21.54 |     19.61 |     30.46 |  task_8015_cp2k_singlepoint_pre |
|        227 |   0.30 |  19.58 |    13.29 |    26.62 |    22.48 |     20.33 |     27.14 |  task_8013_cp2k_singlepoint_pre |
|        228 |   0.54 |  21.68 |    14.79 |    31.49 |    23.71 |     20.79 |     33.12 |  task_8021_cp2k_singlepoint_pre |
|        229 |   0.29 |  21.98 |    15.01 |    27.39 |    23.43 |     22.82 |     34.53 |  task_8019_cp2k_singlepoint_pre |
|        230 |   0.43 |  19.84 |    13.45 |    28.34 |    20.23 |     20.81 |     29.06 |  task_8025_cp2k_singlepoint_pre |
|        231 |   0.20 |  28.78 |    19.38 |    47.24 |    26.05 |     31.29 |     37.79 |  task_8027_cp2k_singlepoint_pre |
|        232 |   0.13 |  21.90 |    13.64 |    29.15 |    22.14 |     24.25 |     33.30 |  task_8023_cp2k_singlepoint_pre |
|        233 |   0.20 |  15.86 |    10.91 |    23.69 |    17.64 |     15.47 |     22.87 |  task_8041_cp2k_singlepoint_pre |
|        234 |   0.06 |  22.01 |    14.73 |    28.89 |    23.93 |     23.70 |     32.60 |  task_8035_cp2k_singlepoint_pre |
|        235 |   0.28 |  22.54 |    15.28 |    29.53 |    25.90 |     23.24 |     33.10 |  task_8029_cp2k_singlepoint_pre |
|        236 |   0.02 |  26.75 |    18.29 |    32.49 |    27.38 |     29.44 |     41.95 |  task_8033_cp2k_singlepoint_pre |
|        237 |   0.21 |  28.47 |    18.34 |    39.38 |    30.21 |     28.57 |     47.17 |  task_8031_cp2k_singlepoint_pre |
|        238 |   0.92 |  28.83 |    18.64 |    33.85 |    27.35 |     33.34 |     47.55 |  task_8039_cp2k_singlepoint_pre |
|        239 |   0.03 |  30.70 |    19.56 |    35.23 |    29.22 |     33.48 |     55.53 |  task_8037_cp2k_singlepoint_pre |
|        240 |   0.02 |  29.92 |    18.21 |    37.46 |    30.87 |     31.63 |     52.69 |  task_8043_cp2k_singlepoint_pre |
|        241 |   0.15 |  32.41 |    19.61 |    40.71 |    31.20 |     35.81 |     56.83 |  task_8045_cp2k_singlepoint_pre |
|        242 |   0.30 |  19.70 |    13.75 |    28.53 |    21.72 |     19.17 |     29.26 |  task_8049_cp2k_singlepoint_pre |
|        243 |   0.11 |  22.00 |    15.26 |    31.04 |    25.08 |     21.97 |     31.50 |  task_8047_cp2k_singlepoint_pre |
|        244 |   0.12 |  23.54 |    15.31 |    30.26 |    26.24 |     24.11 |     38.58 |  task_8053_cp2k_singlepoint_pre |
|        245 |   0.02 |  24.01 |    16.37 |    29.33 |    27.57 |     24.99 |     37.15 |  task_8057_cp2k_singlepoint_pre |
|        246 |   0.32 |  26.13 |    17.42 |    31.48 |    27.51 |     27.59 |     44.74 |  task_8051_cp2k_singlepoint_pre |
|        247 |   0.08 |  28.03 |    18.37 |    35.09 |    29.11 |     30.85 |     46.05 |  task_8059_cp2k_singlepoint_pre |
|        248 |   0.44 |  31.65 |    20.66 |    45.97 |    33.42 |     33.05 |     49.42 |  task_8061_cp2k_singlepoint_pre |
|        249 |   0.53 |  31.05 |    19.39 |    40.32 |    30.91 |     34.91 |     52.79 |  task_8055_cp2k_singlepoint_pre |
|        250 |   0.49 |  26.36 |    20.36 |    34.16 |    32.19 |     24.32 |     35.32 |  task_9631_cp2k_singlepoint_pre |
|        251 |   0.47 |  25.24 |    19.55 |    34.46 |    28.50 |     24.17 |     33.97 |  task_9635_cp2k_singlepoint_pre |
|        252 |   0.41 |  27.30 |    20.46 |    41.51 |    31.91 |     25.67 |     33.21 |  task_9633_cp2k_singlepoint_pre |
|        253 |   0.29 |  25.91 |    20.47 |    37.43 |    28.43 |     25.51 |     31.17 |  task_9637_cp2k_singlepoint_pre |
|        254 |   0.24 |  29.04 |    21.19 |    42.60 |    35.73 |     25.93 |     38.25 |  task_9641_cp2k_singlepoint_pre |
|        255 |   0.54 |  28.41 |    20.81 |    41.29 |    32.40 |     26.63 |     39.18 |  task_9643_cp2k_singlepoint_pre |
|        256 |   0.01 |  29.73 |    21.78 |    40.45 |    33.67 |     28.00 |     43.39 |  task_9645_cp2k_singlepoint_pre |
|        257 |   0.07 |  21.61 |    15.15 |    27.84 |    22.07 |     21.57 |     34.70 |  task_9639_cp2k_singlepoint_pre |
|        258 |   0.38 |  18.58 |    12.86 |    27.61 |    22.15 |     17.26 |     26.07 |  task_9649_cp2k_singlepoint_pre |
|        259 |   0.18 |  27.96 |    20.35 |    42.14 |    31.46 |     27.41 |     36.11 |  task_9647_cp2k_singlepoint_pre |
|        260 |   0.09 |  31.88 |    23.63 |    45.57 |    37.80 |     29.82 |     42.46 |  task_9657_cp2k_singlepoint_pre |
|        261 |   0.46 |  31.40 |    22.37 |    43.09 |    33.55 |     32.04 |     46.25 |  task_9653_cp2k_singlepoint_pre |
|        262 |   0.47 |  35.10 |    23.27 |    45.10 |    38.37 |     35.77 |     57.07 |  task_9651_cp2k_singlepoint_pre |
|        263 |   0.65 |  28.44 |    17.45 |    31.70 |    28.59 |     31.80 |     50.13 |  task_9655_cp2k_singlepoint_pre |
|        264 |   0.10 |  30.28 |    19.15 |    43.37 |    30.88 |     31.44 |     49.14 |  task_9661_cp2k_singlepoint_pre |
|        265 |   0.02 |  29.39 |    18.79 |    41.09 |    30.27 |     31.21 |     46.45 |  task_9663_cp2k_singlepoint_pre |
|        266 |   0.14 |  28.91 |    17.47 |    33.59 |    27.78 |     33.26 |     50.15 |  task_9659_cp2k_singlepoint_pre |
|        267 |   0.18 |  27.49 |    19.56 |    41.31 |    32.25 |     25.41 |     37.89 |  task_9667_cp2k_singlepoint_pre |
|        268 |   0.53 |  27.63 |    21.35 |    38.64 |    34.91 |     24.20 |     34.58 |  task_9665_cp2k_singlepoint_pre |
|        269 |   0.26 |  27.51 |    21.21 |    41.64 |    30.01 |     26.14 |     35.57 |  task_9669_cp2k_singlepoint_pre |
|        270 |   0.07 |  31.38 |    21.94 |    44.18 |    37.16 |     29.52 |     46.25 |  task_9671_cp2k_singlepoint_pre |
|        271 |   0.37 |  31.70 |    22.82 |    47.63 |    38.22 |     28.32 |     43.61 |  task_9673_cp2k_singlepoint_pre |
|        272 |   0.01 |  31.49 |    22.17 |    43.24 |    35.37 |     31.45 |     47.08 |  task_9677_cp2k_singlepoint_pre |
|        273 |   0.01 |  33.26 |    22.51 |    44.95 |    38.08 |     34.18 |     49.78 |  task_9675_cp2k_singlepoint_pre |
|        274 |   0.08 |  30.08 |    19.39 |    40.73 |    32.18 |     32.79 |     47.23 |  task_9679_cp2k_singlepoint_pre |
|        275 |   0.28 |  25.20 |    17.77 |    35.29 |    29.46 |     23.80 |     36.77 |  task_9683_cp2k_singlepoint_pre |
|        276 |   0.27 |  28.52 |    20.92 |    43.61 |    34.00 |     25.04 |     38.31 |  task_9681_cp2k_singlepoint_pre |
|        277 |   0.24 |  29.42 |    22.59 |    44.76 |    34.62 |     25.58 |     38.25 |  task_9685_cp2k_singlepoint_pre |
|        278 |   0.24 |  27.62 |    20.78 |    38.18 |    32.55 |     25.50 |     37.89 |  task_9689_cp2k_singlepoint_pre |
|        279 |   0.20 |  29.90 |    21.90 |    45.85 |    34.47 |     27.69 |     39.00 |  task_9687_cp2k_singlepoint_pre |
|        280 |   0.18 |  19.69 |    13.99 |    25.91 |    21.76 |     20.26 |     27.94 |  task_9693_cp2k_singlepoint_pre |
|        281 |   0.28 |  36.40 |    26.84 |    60.68 |    38.39 |     31.39 |     51.29 |  task_9695_cp2k_singlepoint_pre |
|        282 |   0.15 |  21.95 |    13.67 |    31.52 |    23.39 |     23.24 |     32.30 |  task_9691_cp2k_singlepoint_pre |
|        283 |   0.25 |  17.08 |    12.64 |    24.21 |    18.87 |     16.90 |     23.40 |  task_9703_cp2k_singlepoint_pre |
|        284 |   0.23 |  26.24 |    19.06 |    40.20 |    31.58 |     23.96 |     33.35 |  task_9701_cp2k_singlepoint_pre |
|        285 |   0.26 |  27.29 |    20.85 |    38.06 |    32.61 |     26.21 |     33.59 |  task_9699_cp2k_singlepoint_pre |
|        286 |   0.26 |  36.96 |    24.74 |    50.86 |    38.89 |     37.49 |     59.20 |  task_9697_cp2k_singlepoint_pre |
|        287 |   0.34 |  35.02 |    22.22 |    50.52 |    38.50 |     36.44 |     52.40 |  task_9707_cp2k_singlepoint_pre |
|        288 |   0.90 |  27.85 |    17.20 |    34.07 |    29.46 |     30.93 |     45.43 |  task_9705_cp2k_singlepoint_pre |
|        289 |   0.31 |  29.01 |    18.30 |    31.50 |    29.21 |     32.80 |     50.00 |  task_9709_cp2k_singlepoint_pre |
|        290 |   0.23 |  27.50 |    18.45 |    33.71 |    27.50 |     28.62 |     47.62 |  task_9713_cp2k_singlepoint_pre |
|        291 |   0.27 |  30.30 |    19.52 |    40.34 |    31.56 |     32.45 |     48.28 |  task_9711_cp2k_singlepoint_pre |
|        292 |   0.57 |  28.33 |    21.92 |    40.05 |    32.20 |     26.25 |     38.59 |  task_9715_cp2k_singlepoint_pre |
|        293 |   0.19 |  26.63 |    19.38 |    39.77 |    30.82 |     25.85 |     34.04 |  task_9717_cp2k_singlepoint_pre |
|        294 |   0.26 |  27.33 |    19.72 |    36.08 |    32.72 |     26.89 |     37.94 |  task_9719_cp2k_singlepoint_pre |
|        295 |   0.49 |  30.06 |    21.82 |    40.78 |    35.35 |     28.71 |     43.38 |  task_9723_cp2k_singlepoint_pre |
|        296 |   0.27 |  30.69 |    22.64 |    46.26 |    35.93 |     28.54 |     40.10 |  task_9729_cp2k_singlepoint_pre |
|        297 |   0.35 |  31.28 |    21.99 |    41.73 |    34.26 |     31.73 |     48.43 |  task_9725_cp2k_singlepoint_pre |
|        298 |   0.31 |  36.93 |    25.88 |    52.98 |    41.62 |     36.86 |     53.17 |  task_9721_cp2k_singlepoint_pre |
|        299 |   0.12 |  33.33 |    23.08 |    48.80 |    38.08 |     33.63 |     46.11 |  task_9727_cp2k_singlepoint_pre |
|        300 |   0.06 |  28.79 |    22.33 |    40.89 |    32.05 |     26.62 |     39.89 | task_11303_cp2k_singlepoint_pre |
|        301 |   0.20 |  28.66 |    20.92 |    40.71 |    34.67 |     26.60 |     38.36 | task_11301_cp2k_singlepoint_pre |
|        302 |   0.20 |  31.26 |    23.64 |    39.69 |    37.39 |     29.01 |     44.69 | task_11299_cp2k_singlepoint_pre |
|        303 |   0.12 |  32.33 |    22.43 |    46.07 |    38.10 |     30.92 |     45.56 | task_11307_cp2k_singlepoint_pre |
|        304 |   0.14 |  29.71 |    20.51 |    43.40 |    35.11 |     29.37 |     38.73 | task_11313_cp2k_singlepoint_pre |
|        305 |   0.48 |  38.83 |    27.96 |    57.93 |    42.31 |     36.34 |     56.21 | task_11309_cp2k_singlepoint_pre |
|        306 |   0.20 |  37.79 |    25.67 |    54.01 |    40.77 |     38.44 |     54.48 | task_11311_cp2k_singlepoint_pre |
|        307 |   0.77 |  28.81 |    22.02 |    38.09 |    33.80 |     27.34 |     38.56 | task_11305_cp2k_singlepoint_pre |
|        308 |   0.58 |  24.18 |    18.19 |    35.01 |    29.28 |     21.63 |     31.91 | task_11315_cp2k_singlepoint_pre |
|        309 |   0.49 |  28.49 |    21.70 |    39.86 |    33.42 |     26.99 |     37.14 | task_11317_cp2k_singlepoint_pre |
|        310 |   0.59 |  36.50 |    24.04 |    48.40 |    38.99 |     36.03 |     61.79 | task_11323_cp2k_singlepoint_pre |
|        311 |   0.47 |  33.60 |    21.94 |    49.02 |    37.79 |     32.90 |     51.30 | task_11321_cp2k_singlepoint_pre |
|        312 |   0.66 |  34.51 |    24.72 |    43.74 |    39.73 |     35.53 |     48.81 | task_11319_cp2k_singlepoint_pre |
|        313 |   0.56 |  28.72 |    17.88 |    34.70 |    27.93 |     32.26 |     49.13 | task_11331_cp2k_singlepoint_pre |
|        314 |   0.65 |  30.10 |    19.74 |    38.23 |    28.56 |     33.10 |     50.42 | task_11327_cp2k_singlepoint_pre |
|        315 |   0.17 |  26.76 |    18.01 |    36.98 |    28.63 |     27.76 |     40.66 | task_11329_cp2k_singlepoint_pre |
|        316 |   0.54 |  27.06 |    17.34 |    35.29 |    28.66 |     29.74 |     41.73 | task_11325_cp2k_singlepoint_pre |
|        317 |   0.57 |  31.28 |    22.31 |    47.92 |    36.71 |     28.87 |     42.09 | task_11337_cp2k_singlepoint_pre |
|        318 |   0.39 |  32.38 |    24.27 |    47.42 |    38.63 |     28.73 |     44.07 | task_11333_cp2k_singlepoint_pre |
|        319 |   0.02 |  30.51 |    22.36 |    47.63 |    34.15 |     29.20 |     39.17 | task_11335_cp2k_singlepoint_pre |
|        320 |   0.35 |  34.26 |    24.45 |    50.42 |    38.67 |     34.06 |     46.31 | task_11343_cp2k_singlepoint_pre |
|        321 |   0.13 |  35.00 |    25.19 |    52.17 |    41.15 |     32.70 |     47.60 | task_11339_cp2k_singlepoint_pre |
|        322 |   0.64 |  38.52 |    26.83 |    52.93 |    41.48 |     41.88 |     53.72 | task_11341_cp2k_singlepoint_pre |
|        323 |   0.28 |  39.80 |    30.27 |    56.30 |    41.97 |     38.50 |     58.94 | task_11345_cp2k_singlepoint_pre |
|        324 |   0.74 |  31.31 |    23.70 |    44.97 |    34.40 |     30.72 |     42.86 | task_11347_cp2k_singlepoint_pre |
|        325 |   0.42 |  27.80 |    21.38 |    43.80 |    33.10 |     24.33 |     33.19 | task_11349_cp2k_singlepoint_pre |
|        326 |   0.52 |  31.12 |    22.00 |    44.66 |    36.73 |     29.54 |     43.20 | task_11353_cp2k_singlepoint_pre |
|        327 |   0.03 |  30.51 |    24.12 |    43.28 |    39.24 |     26.55 |     34.65 | task_11357_cp2k_singlepoint_pre |
|        328 |   0.01 |  32.39 |    21.83 |    45.37 |    36.70 |     31.40 |     49.15 | task_11351_cp2k_singlepoint_pre |
|        329 |   0.38 |  34.05 |    24.24 |    45.49 |    37.39 |     34.01 |     50.24 | task_11355_cp2k_singlepoint_pre |
|        330 |   0.45 |  27.46 |    19.69 |    35.13 |    31.13 |     27.28 |     40.19 | task_11363_cp2k_singlepoint_pre |
|        331 |   0.87 |  34.56 |    23.11 |    47.87 |    35.97 |     33.70 |     56.10 | task_11361_cp2k_singlepoint_pre |
|        332 |   0.80 |  31.93 |    21.91 |    38.63 |    35.84 |     32.39 |     49.19 | task_11359_cp2k_singlepoint_pre |
|        333 |   0.67 |  24.45 |    18.87 |    34.63 |    30.19 |     22.08 |     30.12 | task_11377_cp2k_singlepoint_pre |
|        334 |   0.20 |  34.50 |    24.87 |    42.75 |    38.26 |     34.88 |     52.80 | task_11369_cp2k_singlepoint_pre |
|        335 |   0.44 |  30.79 |    22.61 |    42.98 |    36.39 |     29.36 |     41.71 | task_11371_cp2k_singlepoint_pre |
|        336 |   0.49 |  36.74 |    24.14 |    49.03 |    38.14 |     39.45 |     57.49 | task_11365_cp2k_singlepoint_pre |
|        337 |   0.92 |  43.17 |    29.17 |    57.15 |    46.17 |     43.27 |     70.41 | task_11367_cp2k_singlepoint_pre |
|        338 |   0.52 |  27.76 |    16.79 |    31.34 |    26.24 |     32.96 |     47.13 | task_11375_cp2k_singlepoint_pre |
|        339 |   0.26 |  28.69 |    18.33 |    35.91 |    28.76 |     31.92 |     46.91 | task_11373_cp2k_singlepoint_pre |
|        340 |   0.01 |  27.98 |    17.82 |    34.84 |    29.04 |     30.56 |     45.86 | task_11381_cp2k_singlepoint_pre |
|        341 |   0.32 |  31.28 |    21.25 |    39.38 |    31.82 |     33.48 |     50.45 | task_11379_cp2k_singlepoint_pre |
|        342 |   0.39 |  27.57 |    21.20 |    38.91 |    34.86 |     23.48 |     35.77 | task_11385_cp2k_singlepoint_pre |
|        343 |   0.31 |  31.19 |    22.76 |    45.76 |    39.35 |     28.67 |     37.86 | task_11383_cp2k_singlepoint_pre |
|        344 |   0.41 |  32.90 |    26.07 |    42.40 |    38.60 |     29.45 |     47.39 | task_11395_cp2k_singlepoint_pre |
|        345 |   0.43 |  32.22 |    24.89 |    45.29 |    35.57 |     30.39 |     45.33 | task_11393_cp2k_singlepoint_pre |
|        346 |   0.06 |  37.09 |    26.44 |    55.73 |    42.22 |     35.01 |     52.41 | task_11391_cp2k_singlepoint_pre |
|        347 |   0.40 |  42.46 |    27.66 |    63.15 |    46.63 |     41.54 |     67.37 | task_11389_cp2k_singlepoint_pre |
|        348 |   0.29 |  35.65 |    24.56 |    51.50 |    41.03 |     35.94 |     49.81 | task_11387_cp2k_singlepoint_pre |
|        349 |   0.20 |  37.22 |    26.06 |    52.55 |    42.78 |     36.35 |     55.09 | task_11397_cp2k_singlepoint_pre |
|        350 |   0.29 |  29.74 |    21.31 |    41.15 |    34.60 |     28.33 |     42.83 | task_12970_cp2k_singlepoint_pre |
|        351 |   0.25 |  30.92 |    21.45 |    45.49 |    38.24 |     28.75 |     41.06 | task_12972_cp2k_singlepoint_pre |
|        352 |   0.24 |  34.04 |    25.75 |    48.56 |    41.45 |     28.62 |     48.08 | task_12974_cp2k_singlepoint_pre |
|        353 |   0.41 |  30.96 |    22.63 |    40.83 |    34.14 |     30.57 |     45.48 | task_12976_cp2k_singlepoint_pre |
|        354 |   0.41 |  33.26 |    25.05 |    44.21 |    35.20 |     31.69 |     50.87 | task_12978_cp2k_singlepoint_pre |
|        355 |   0.59 |  30.63 |    23.34 |    42.70 |    33.88 |     28.70 |     43.25 | task_12980_cp2k_singlepoint_pre |
|        356 |   1.64 |  37.70 |    25.27 |    52.58 |    38.22 |     38.39 |     59.06 | task_12982_cp2k_singlepoint_pre |
|        357 |   0.80 |  33.71 |    23.72 |    46.51 |    37.79 |     33.14 |     48.42 | task_12984_cp2k_singlepoint_pre |
|        358 |   0.73 |  26.21 |    20.06 |    42.24 |    31.64 |     22.15 |     31.22 | task_12986_cp2k_singlepoint_pre |
|        359 |   0.32 |  30.03 |    22.62 |    42.81 |    36.10 |     27.16 |     40.16 | task_12988_cp2k_singlepoint_pre |
|        360 |   0.57 |  28.70 |    21.97 |    41.09 |    32.58 |     27.47 |     37.37 | task_12990_cp2k_singlepoint_pre |
|        361 |   0.80 |  36.53 |    24.73 |    49.77 |    38.88 |     35.77 |     60.12 | task_12992_cp2k_singlepoint_pre |
|        362 |   0.98 |  38.85 |    28.88 |    54.44 |    43.19 |     36.85 |     56.31 | task_12994_cp2k_singlepoint_pre |
|        363 |   1.58 |  35.89 |    25.50 |    42.03 |    37.74 |     37.67 |     57.72 | task_12996_cp2k_singlepoint_pre |
|        364 |   1.13 |  37.35 |    27.78 |    53.28 |    41.31 |     36.42 |     51.49 | task_12998_cp2k_singlepoint_pre |
|        365 |   0.61 |  27.74 |    18.50 |    36.00 |    30.42 |     28.70 |     43.62 | task_13000_cp2k_singlepoint_pre |
|        366 |   0.31 |  29.31 |    18.84 |    37.01 |    31.70 |     33.03 |     43.36 | task_13002_cp2k_singlepoint_pre |
|        367 |   0.39 |  28.21 |    20.74 |    40.27 |    33.20 |     26.34 |     38.65 | task_13014_cp2k_singlepoint_pre |
|        368 |   0.52 |  28.53 |    22.13 |    43.45 |    30.80 |     27.02 |     36.82 | task_13010_cp2k_singlepoint_pre |
|        369 |   0.03 |  31.14 |    23.47 |    43.85 |    35.07 |     29.17 |     44.52 | task_13016_cp2k_singlepoint_pre |
|        370 |   0.16 |  32.90 |    24.87 |    48.37 |    40.25 |     29.10 |     42.33 | task_13012_cp2k_singlepoint_pre |
|        371 |   0.03 |  33.05 |    23.12 |    46.88 |    36.10 |     34.60 |     46.25 | task_13008_cp2k_singlepoint_pre |
|        372 |   0.55 |  34.73 |    27.34 |    49.32 |    41.21 |     32.19 |     42.68 | task_13006_cp2k_singlepoint_pre |
|        373 |   0.21 |  33.28 |    24.89 |    45.79 |    37.39 |     32.51 |     47.35 | task_13004_cp2k_singlepoint_pre |
|        374 |   0.46 |  41.75 |    28.70 |    56.49 |    47.29 |     42.73 |     62.89 | task_13018_cp2k_singlepoint_pre |
|        375 |   0.13 |  28.90 |    22.08 |    41.50 |    33.42 |     26.11 |     39.67 | task_13022_cp2k_singlepoint_pre |
|        376 |   0.20 |  34.72 |    24.95 |    47.67 |    37.89 |     33.14 |     53.58 | task_13020_cp2k_singlepoint_pre |
|        377 |   0.10 |  29.72 |    23.13 |    43.79 |    35.20 |     26.70 |     37.16 | task_13034_cp2k_singlepoint_pre |
|        378 |   0.35 |  32.29 |    24.16 |    43.01 |    35.93 |     31.17 |     46.68 | task_13032_cp2k_singlepoint_pre |
|        379 |   2.42 |  62.09 |    24.10 |    50.02 |    42.82 |     45.43 |    170.73 | task_13030_cp2k_singlepoint_pre |
|        380 |   0.63 |  35.44 |    23.10 |    44.46 |    34.98 |     36.59 |     60.78 | task_13028_cp2k_singlepoint_pre |
|        381 |   0.95 |  35.92 |    23.77 |    42.90 |    35.05 |     40.83 |     55.20 | task_13026_cp2k_singlepoint_pre |
|        382 |   2.21 |  47.64 |    24.21 |    47.94 |    40.03 |     68.85 |     60.61 | task_13024_cp2k_singlepoint_pre |
|        383 |   0.77 |  28.05 |    22.01 |    39.26 |    34.26 |     25.75 |     33.75 | task_13036_cp2k_singlepoint_pre |
|        384 |   0.16 |  33.40 |    24.04 |    46.06 |    37.54 |     32.07 |     49.69 | task_13038_cp2k_singlepoint_pre |
|        385 |   0.16 |  31.58 |    23.06 |    50.23 |    37.05 |     28.80 |     39.46 | task_13040_cp2k_singlepoint_pre |
|        386 |   0.93 |  35.74 |    24.11 |    45.12 |    38.09 |     38.40 |     55.34 | task_13042_cp2k_singlepoint_pre |
|        387 |   1.23 |  41.07 |    27.67 |    57.19 |    44.67 |     39.70 |     66.52 | task_13052_cp2k_singlepoint_pre |
|        388 |   0.61 |  28.62 |    18.59 |    39.80 |    32.96 |     29.29 |     42.12 | task_13048_cp2k_singlepoint_pre |
|        389 |   0.47 |  31.38 |    19.61 |    36.23 |    29.03 |     35.01 |     56.72 | task_13046_cp2k_singlepoint_pre |
|        390 |   0.35 |  27.93 |    18.14 |    37.25 |    29.73 |     29.87 |     43.42 | task_13050_cp2k_singlepoint_pre |
|        391 |   0.31 |  30.30 |    20.23 |    44.27 |    29.99 |     31.45 |     47.40 | task_13044_cp2k_singlepoint_pre |
|        392 |   0.18 |  28.57 |    20.29 |    41.86 |    33.05 |     27.61 |     39.02 | task_13054_cp2k_singlepoint_pre |
|        393 |   0.55 |  30.54 |    22.36 |    42.65 |    37.84 |     28.98 |     38.78 | task_13058_cp2k_singlepoint_pre |
|        394 |   0.47 |  31.86 |    23.07 |    47.06 |    38.67 |     28.09 |     44.36 | task_13056_cp2k_singlepoint_pre |
|        395 |   0.44 |  33.28 |    24.98 |    47.04 |    38.57 |     31.08 |     46.11 | task_13060_cp2k_singlepoint_pre |
|        396 |   0.06 |  35.62 |    28.33 |    52.76 |    41.27 |     30.95 |     46.58 | task_13062_cp2k_singlepoint_pre |
|        397 |   0.15 |  35.52 |    25.91 |    53.06 |    38.83 |     36.12 |     46.17 | task_13066_cp2k_singlepoint_pre |
|        398 |   0.57 |  41.47 |    27.98 |    60.84 |    47.47 |     40.49 |     61.74 | task_13068_cp2k_singlepoint_pre |
|        399 |   0.06 |  39.59 |    28.56 |    65.20 |    46.27 |     36.55 |     47.02 | task_13064_cp2k_singlepoint_pre |
|        400 |   0.61 |  29.44 |    21.98 |    39.79 |    33.23 |     28.53 |     41.74 | task_14641_cp2k_singlepoint_pre |
|        401 |   0.16 |  31.55 |    22.31 |    43.89 |    35.71 |     30.83 |     45.79 | task_14643_cp2k_singlepoint_pre |
|        402 |   0.47 |  34.85 |    24.03 |    50.77 |    40.28 |     32.54 |     51.36 | task_14645_cp2k_singlepoint_pre |
|        403 |   0.02 |  34.42 |    24.09 |    46.70 |    39.16 |     32.75 |     52.54 | task_14649_cp2k_singlepoint_pre |
